English,Label,Tigrinya (TIR),Tigrinya (IPA),Oromo (Orm),Oromo (IPA),Wikipedia,KB ID,
Kyodo,,ክዮዶ,,,,,,
Kyrgyzstan,GPE,,,Kirgizistaan,,,,
Laga Dadhi,,,,Laga Daadhii,,,,
Lagos,GPE,,,Laagos,,,,
Lake Awasa,LOC,,,Laga Awaash,,https://en.wikipedia.org/wiki/Awash_River,343136,
Lake Dadi,LOC,,,Hara Daadhii,,,,
Lake Dambal,LOC,,,Laaqii Dambal,,,,
Lake Dandi,LOC,,,Dabbal dandii,,,,
Lake Maya,LOC,,,Hara Maayaa,,,,
Lake Tana,LOC,,,,,https://en.wikipedia.org/wiki/Lake_Tana,327932,
Lake Turkana,LOC,,,,,https://en.wikipedia.org/wiki/Lake_Turkana,181055,
Lake Wanchi,LOC,,,Calalaqa Wanci,,,,
Laki Dambal,,,,Laaqii Dambal,,,,
Lakshmipura,,ላኪሽሚፑራ,lakiʃmipura,,,,,
Lalo Kile,,,,Laaloo Qilee;  Laaloo Killee,,https://en.wikipedia.org/wiki/Lalo_Kile,,
Langanno,,,,Laangannoo,,,,
Laos,GPE,,,Laa'os,,,,
Larry Birns,,ላሪ ቢርንሥ,lari birnɨs,,,,,
Latvia,GPE,,,Laatbiyaa,,,,
Lebanon,GPE,ሊባኖስ,libanos,Lebaanon,,,,
Lemman,,,,Leemman,,,,
Leenco Lata,,,,Leencoo Lataa,,,,
Lesotho,GPE,,,Lesootoo,,,,
Liben Zone,GPE,,,Liiban,,https://en.wikipedia.org/wiki/Liben_Zone,,
Liberia,GPE,,,Libeeriyaa,,,,
Libya,GPE,ሊብያ,libɨja,Liibiyaa,,https://en.wikipedia.org/wiki/Libya,,
Liechtenstein,GPE,,,Lishtenistaayin,,,,
Limmu Shaye,,,,Limmu Shaayee,,,,
Lisbon,GPE,ሊዝበን,,,,,,
Lithuania,GPE,,,Lituweeniyaa,,,,
Liyu; Somali Region Special Police,ORG,,,,,,,
London,GPE,ለንደን; ሎንዶን; ሎንደን,lənɨdən; london; londən,London,,,,
London School of Economics,ORG,ለንደን ስኩል ኦፍ ኢኮኖሚክስ,ləndən sɨkul ʔof ʔikonomikɨs,,,,,
Los Angeles,GPE,ሎስኣንጀለስ,losɨʔanɨd͡ʒələs,Los Anjeles,,,,
Los Angeles Times,ORG,ሎስ ኣንጀለስ ታይምስ,los ʔand͡ʒələs tajmɨs,,,,,
Luxembourg,GPE,,,Luksamburgii,,,,
Ma'ekel Region; Ma'ekel; Maekel,GPE,ዞባ ማእከል; ማእከል,zoba maʔɨkəl; maʔɨkəl,,,https://en.wikipedia.org/wiki/Central_Region_(Eritrea),,
Maakel Region; Maakel,GPE,ዞባ ማእከል; ማእከል,zoba maʔɨkəl; maʔɨkəl,,,https://en.wikipedia.org/wiki/Central_Region_(Eritrea),,
McCarthy,PER,ማካርቲ,,,,,,
Macedonia,GPE,,,Maasedoniyaa,,,,
Machara,,,,Machaaraa,,,,
Madagascar,GPE,,,Madagaaskaar,,,,
Maddo Gashi,,,,Maddo Gaashii,,,,
Madhya Pradesh,GPE,ማድያ ፕራዴሽ,madja pɨradeʃ,,,,,
Maekelawi,,,,,,,,
Mahmud Abbas,PER,ማሕመድዓባስ,maħməd ʕabas,,,,,
Mai-Habar,,ማይሓባር,majħabar,,,,,
Mai-Dima,,ማይድማ,majdɨma,,,,,
Mai Temenay,PER,ማይ ተመናይ,maj təmənaj,,,,,
Mahatma,PER,ማህታማ,mahɨtama,,,,,
Maine,GPE,ማይኔ,majɨne,,,,,
Maki,,,,Maqii,,,,
Malabo,,,,Malabo,,,,
Malawi,GPE,,,Malaawii,,,,
Malaysia,GPE,,,Maleesiyaa,,,,
Maldives,GPE,,,Maaldibis,,,,
Mali,GPE,,,Maalii,,,,
Malibu,GPE,ማሊቡ,malibu,,,,,
Malka Rafu,,,,Malkaa Raafuu,,,,
Malka Wakkanna,,,,Malkaa Waakkannaa,,,,
Malta,GPE,ማልታ,malɨta,Maaltaa,,,,
Manchester,GPE,ማንቸስተር,mant͡ʃəstər,,,,,
Manchester United,ORG,,,Manchastar Yunaayitid,,,,
Manda Hararo,LOC,,,,,https://en.wikipedia.org/wiki/Manda_Hararo,9883931,
Manda-Inakir,LOC,,,,,https://en.wikipedia.org/wiki/Manda-Inakir,9883932,
Mandi,,,,Mandii,,,,
Mandida,,,,Mandiidaa,,,,
Manna,,,,Maannaa,,,,
Mararo,,,,Mararoo,,,,
Mareb River; Gash River,LOC,,,,,https://en.wikipedia.org/wiki/Mareb_River,,
Mario Vargas Llosa,PER,ማሪዮ ቫርጋስ ልሎሳ,marijo varɨɡas lɨlosa,,,,,
Marsa,,,,Marsaa,,,,
Marsabit,GPE,,,Marsaabit,,https://en.wikipedia.org/wiki/Marsabit,,
Marseilles,GPE,,,Maarsee,,,,
Marshal Islands,GPE,,,Odoolota Maarshaal,,,,
Marti,,,,Martii,,,,
Massawa,GPE,ምጽዋዕ,mɨt͡sʼɨwaʕ,,,https://en.wikipedia.org/wiki/Massawa,330546,
Massawa International Airport,LOC,,,,,https://en.wikipedia.org/wiki/Massawa_International_Airport,7730092,
Massawa; Mitsiwa; Batsi,GPE,,,,,https://en.wikipedia.org/wiki/Massawa,,
Mata Hara,,,,Mata Haaraa,,,,
Matteo Renzi,,ማተዮ ሬንዚ,matəjo renzi,,,,,
Mattu,,,,Mattuu,,,,
Mauritania,GPE,,,Mawurtaaniyaa,,,,
Mauritius,GPE,,,Mawurishees,,,,
Mecca,GPE,,,Makkaa,,,,
Mecha and Tulama Self-Help Association,ORG,,,Waldaa Wal-gargaarsa Maccaa fi Tuulamaa,,https://en.wikipedia.org/wiki/Mecha_and_Tulama_Self-Help_Association,,
Medina,GPE,,,Madiinaa,,,,
Mediterranean Sea,LOC,ማእከላይ ባሕሪ,maʔɨkəlaj baħɨri,Galaana Mediteraaniyaanii; Garba Meditraaniyaa,,,,
Medrek; MEDREK; Forum for Democratic Dialogue in Ethiopia,ORG,,,Medrek,,https://en.wikipedia.org/wiki/Medrek,,
Meta,,,,Meettaa,,,,
Meta Robi,,,,Meettaa Roobii,,,,
Megga,,,,Meeggaa,,,,
Melaku Fenta,,,,Melakuu Faantaa,,,,
Meles Zenawi,,መለስ ዜናዊ; መለስ ዚናዊ,mələs zenawi,Meles Zeenaawwii; Mallas Zeenaawwii,,,,
Meles Zenawi Asres,,መለስ ዜናዊ አስረስ,mələs zenawi ʔəsɨrəsɨ,,,,,
Mendefera; Ado Ugri,GPE,መንደፈራ,mənɨdəfəra,,,https://en.wikipedia.org/wiki/Mendefera,,
Mendi,GPE,,,,,"https://en.wikipedia.org/wiki/Mendi,_Ethiopia",,
Menelik,PER,,,Minilik,,https://en.wikipedia.org/wiki/Menelik_II,,
Mengistu Haile Mariam; Mengistu Hailemariam,PER,መንግስቱ ኃይለ ማርያም; ኃይለ ማርያም,,Mengistu Hailemariam; ,,,71000164,
Merebleke,,,,,,,,
Mersen Chala,,,,,,,,
Meta woreda,GPE,,,Meettaa,,https://en.wikipedia.org/wiki/Meta_(woreda),6282838,
Metekel,GPE,,,,,https://en.wikipedia.org/wiki/Metekel_Zone,7874607,
Metta Gafarsa,,,,Meettaa Gafarsaa,,,,
Metti,,,,Meexxii,,,,
Mexico,,,,Meeksikoo,,,,
Mezhenger,GPE,,,,,https://en.wikipedia.org/wiki/Mezhenger_Zone,,
Michata,,,,Miiccataa,,,,
Michelle Obama,PER,ሚሸል ኦባማ,,,,,,
Micronesia,LOC,,,Mikroneeisyaa,,,,
Midakegn,,,,Midaa Qanyi,,,,
Middle East,LOC,ማእከላይ ምብራቕ,maʔɨkəlaj mɨbɨraqʰ,,,,,
Mieso,,,,,,https://en.wikipedia.org/wiki/Mieso,,
Miesso,,,,Mi'eesso,,,,
Milan,GPE,ሚላኖ,milano,Milaanoo,,,,
Ministry of Federal Affairs,ORG,,,,,,,
Ministry of Transport and Communications,ORG,,,,,https://en.wikipedia.org/wiki/Ministry_of_Transport_and_Communications_(Ethiopia),,
Minneapolis,GPE,,,,,,5037649,
Minnesota,GPE,ሚኒሦታ,minisota,Minnesootaa; Minisootaa,,,5037779,
Mississippi,GPE,ሚሲሲፒ,misisipi,,,,,
Missouri,GPE,ሚዙሪ,mizuri,,,,,
Mitiku Kassa,PER,ሚቲኩ ካሳ,,Mitikkuu Kaasaa; Mitikuu Kaassaa,,,71000133,
Mogadishu,GPE,ሞቓዲሾ,moqʰadiʃo,Moqaadishoo,,https://en.wikipedia.org/wiki/Mogadishu,,
Mogor,,,,Mogor,,,,
Mohandas Gandhi,PER,ሞሀንዳሥ ገንዲ,mohənɨdas ɡənɨdi,,,,,
Mojo,,,,Mojo,,,,
Moldova,GPE,,,Moldoobaa,,,,
Molki,,,,,,https://en.wikipedia.org/wiki/Molki,,
Mombasa,GPE,,,Mombaasaa,,,,
Monaco,GPE,,,Monaakoo,,,,
Mongolia,GPE,,,Mongooliyaa,,,,
Mongomo,,,,Mongoma,,,,
Montreal,GPE,,,Montireel,,,,
Mormor,,,,Mormor,,,,
Morocco,GPE,ሞሮኮ,moroko,Morokko; Morokoo,,,,
Mount Alayta,LOC,,,,,https://en.wikipedia.org/wiki/Mount_Alayta,326796,
Mount Dama Ali,LOC,,,,,https://en.wikipedia.org/wiki/Mount_Dama_Ali,339484,
Moyale,,,,Mooyalee; Moyyaalee,,,,
Mozambique,GPE,,,Moozaambik; Mozaambik,,,,
Mt. Abella,LOC,,,Gaara Abeellaa,,,,
Mt. Adi,LOC,,,Gaara Adii,,,,
Mt. Asabot,LOC,,,Agaar Asaboot,,,,
Mt. Asha,LOC,,,Gaara Ashaa,,,,
Mt. Batu,LOC,,,Gaara Baatuu,,,,
Mt. Bora,LOC,,,Gaara Booraa,,,,
Mt. Chilalo,LOC,,,Gaara Cilaaloo,,,,
Mt. Chukkala,LOC,,,Tulluu Cuqqaalaa,,,,
Mt. Dalota,LOC,,,Tulluu Daalotaa,,,,
Mt. Dannaba,LOC,,,Gaara Dannabaa,,,,
Mt. Dimtu,LOC,,,Tullu Diimtuu,,,,
Mt. Erer,LOC,,,Gaara Erer,,,,
Mt. Fantalle,LOC,,,Gaara Fantaallee,,,,
Mt. Furi,LOC,,,Tulluu Furii,,,,
Mt. Gorfo,LOC,,,Gaara Gorfoo,,,,
Mt. Gorte,LOC,,,Gaara Gorxee,,,,
Mt. Hatabella,LOC,,,Gaara Haxabeellaa,,,,
Mt. Hochocha,LOC,,,Gaara Hococaa,,,,
Mt. Jibat,LOC,,,Tulluu Jibaat,,,,
Mt. Jorgo,LOC,,,Tulluu Joorgoo,,,,
Mt. Kunduddo,LOC,,,Gaara Qunduddoo,,,,
Mt. Mao,LOC,,,Gaara Maa'oo,,,,
Mt. Mara,LOC,,,Tulluu Maraa,,,,
Mt. Mullata,LOC,,,Gaara Muldhataa,,,,
Mt. Salale,LOC,,,Gaara Salaalee,,,,
Mt. Walal,LOC,,,Tulluu Walal,,,,
Mubarak,PER,ሙባረክ,mubarək,,,,,
Muggi,,,,Muggii,,,,
Mulatu Teshome; Mulatu Teshome Wirtu,PER,ሙላቱ ተሾመ,,,,https://en.wikipedia.org/wiki/Mulatu_Teshome,30001678,
Munich,GPE,,,Muniik,,,,
Musa Raba,,,,,,,,
Nagalle Arsi,,,,Nageellee Arsii,,,,
Nageellee Metama,,,,Nageellee Meexamaa,,,,
Nagelle Borana,,,,Nageellee Booranaa,,,,
Nairobi,GPE,,,,,https://en.wikipedia.org/wiki/Nairobi,,
Naizgi Kiflu,,ናይዝጊ ክፍሉ,,,,,,
Najjo,,,,Najjoo,,,,
Nakamte,,,,Naqamte;Naqamtee,,,,
Nakfa,GPE,ናቕፋ,naqʰɨfa,,,"https://en.wikipedia.org/wiki/Nakfa,_Eritrea",,
Namagna,,,,Amanya,,,,
Namib,LOC,ናሚብ,namib,,,,,
Namibia,GPE,ናሚቢያ,namibija,Namibiyaa,,,3355338,
Narendra Modi,PER,ኔሪንዳ ሙዲ,,,,,,
National Alliance of Eritrea,ORG,ሃገራዊ ምሕዝነት ኤርትራ,haɡərawi mɨħɨzɨnət ʔerɨtɨra,,,,,
National Disaster Prevention and Preparedness Committee,ORG,,,,,,,
National Guard,ORG,ናሽናል ጋርድ,naʃnal ɡarɨd,,,,,
National Public Radio,ORG,ናሽናል ፓብሊክ ሬድዮ,naʃnal pablik redjo,,,,,
National Rifle Association,ORG,ሃገራዊ ማሕበር ጠበንጃ,haɡərawi maħbər tʼəbənd͡ʒa,,,,,
National Union of Eritrean Youth and Students; NUEYS; Youth Association,ORG,ሃ . ማ . መ . ተ . ኤ .,ha . ma . mə . tə . ʔe .,,,https://en.wikipedia.org/wiki/National_Union_of_Eritrean_Youth_and_Students,,
Nauru,,,,Nawuruu,,,,
NBC Television,ORG,ኤን ቢሲ ቴሌቪቭን,ʔen bisi televivɨn,,,,,
Negele Arsi,,,,Arsii-Nageellee,,,,
Nekemte; Nakamti; Nek’emtē; Nek'emte,GPE,,,Naqamte; Naqamtee,,https://en.wikipedia.org/wiki/Nekemte,330118,
Nepal,GPE,,,Neppaal,,,1282988,
Netherlands,GPE,ሆላንድን,holanɨdɨn,Neezarlaandii,,,,
Netzarim,,ናዛሪም,nazarim,,,,,
Nevada,GPE,ኔቭዳ,nevɨda,,,,,
Newari,,ነዋሪ,,,,,,
New Delhi,GPE,ኒው ደልሂ,niw dəlɨhi,,,,,
New York,GPE,ኒውዮርክ; ኒው ዮርክ,niwjork; niw jorɨk,Niwu Yoorki,,,5128581,
New Zealand,GPE,,,Niw Zilaadii,,,,
Newcastle,GPE,ኒውካስል,niwɨkasɨl,,,,,
Nicaragua,GPE,ኒካራጓ,nikaraɡʷa,Nikaraaguwaa,,,,
Niger,GPE,,,Nijeer,,,,
Nigeria,GPE,ናይጀርያ,najɨd͡ʒərɨja,Naayijeeriyaa; Naajeriyaa,,,2328926,
No Peace without Justice,ORG,ብዘይ ፍትሒ ሰላም የለን,bɨzəj fɨtɨħi səlam jələn,,,,,
Nogob Zone,GPE,,,,,https://en.wikipedia.org/wiki/Nogob_Zone,,
Nono,,,,Noonoo,,"https://en.wikipedia.org/wiki/Nono,_Shewa",,
North America,LOC,ሰሜን ኣሜሪካን,səmen ʔamerikan,Ameerikaa Kaabaa,,,,
North Gondar Zone,GPE,,,,,https://en.wikipedia.org/wiki/North_Gondar_Zone,7670726,
North Korea,GPE,,,Koriyaa Kaabaa,,,,
North Omo Zone,GPE,,,,,https://en.wikipedia.org/wiki/North_Omo_Zone,,
North Sea,LOC,,,Garba Boroo,,,,
North Shewa Zone; North Shawa,GPE,,,Shawaa Kaabaa,,https://en.wikipedia.org/wiki/North_Shewa_Zone_(Oromia),7670714,
North Wollo Zone,GPE,,,,,https://en.wikipedia.org/wiki/North_Wollo_Zone,7869862,
Northern Red Sea Region,GPE,ዞባ ሰሜናዊ ቀይሕ ባሕሪ,zoba səmenawi qəjɨħ baħɨri,,,https://en.wikipedia.org/wiki/Northern_Red_Sea_Region,,
Norway,GPE,,,Noorwee,,,,
Nuer,PER,,,,,,,
Nuer people,PER,,,,,https://en.wikipedia.org/wiki/Nuer_people,,
Nyamapanda,,,,Nyampaandaa,,,,
Obbi,,,,Obbi,,,,
Oborra,,,,Oborraa,,,,
Office of Gas and Electricity Markets; Ofgem,ORG,,,Oborso,,,,
Office of Gas and Electricity Markets,ORG,ዕዳጋ ጋዝን ኤሌክትሪክን,ʕɨdaɡa ɡazɨn ʔelektɨrikɨn,,,,,
Ogaden,GPE,ኦጋዴን,ʔoɡaden,,,https://en.wikipedia.org/wiki/Ogaden,6311214,
Ogaden National Liberation Front,ORG,ግንባር ሓርነት ኦጋዴን,,,,https://en.wikipedia.org/wiki/Ogaden_National_Liberation_Front,,
Ogolcho,,,,Ogolchoo,,,,
Olonkomi,,,,Olonkomii,,,,
Oman,GPE,,,Omaan,,,,
Omo River,LOC,,,,,https://en.wikipedia.org/wiki/Omo_River,8692910,
Oranjemund,,ኦራንጀሙንድ,ʔorand͡ʒəmunɨd,,,,,
Oromia Media Network; OMN,ORG,መራኸቢ ብዙሓን ኦሮሞ,,OMN; Oromiyaa Miidiyaa Neetworkii; Oromiyaa Midiyaa Neetworkii,,,71000051,
Oromia Region; Oromiya Region; Oromia Regional State; Oromia,GPE,ኦሮምያ,,Oromiyaa,,https://en.wikipedia.org/wiki/Oromia_Region,444185,
Oromo Democratic Front; ODF,ORG,ዲሞክራሲያዊ ምንቅስቃስ ኦሮሞ; ዲሞክራሲያዊ ግንባር ኦሮሞ,,Adda Dimookraatawaa Oromoo; ADO; Adda Dimookiraatawa Oromoo; Adda Dimookiraatawaa Oromoo,,,,
Oromo Federalist Congress; OFC,ORG,ፈደራላዊ ጉባኤ ኦሮሞ,,Kongiressii Federaalistii Oromoo; Koongirasii Federaalistii Oromoo; KFO; Kongresa Federaalawaa Oromoo,,,71000040,
Oromo Liberation Army; OLA,ORG,ህዝባዊ ሓርነት ኦሮሞ; ሰራዊት ሓርነት ኦሮሞ,,Waraanna Bilisummaa Oromoo; WBO,,,,
Oromo Liberation Front; OLF,ORG,ሓርነታዊ ምንቅስቃስሖሮሞ,,Adda Bilisummaa Oromoo; ABO; Addi Bilisummaa Oromoo; ,,https://en.wikipedia.org/wiki/Oromo_Liberation_Front,71000083,
Oromo People's Democratic Organization; OPDO,ORG,ህዝባዊ  ዲሞክራሲያዊ ግንባር ኦሮሞ,,Dhaabbata Dimookraatawaa Ummata Oromoo; Dhaabbata Dimokraasummaa Uummata Oromoo; DHDUO; DH.D.U.O,,https://en.wikipedia.org/wiki/Oromo_Peoples%27_Democratic_Organization,71000044,
Osaka,GPE,ኣሳካ,ʔasaka,Osaakaa,,,,
Oslo,GPE,ኦስሎ,ʔosɨlo,,,,,
Osman Mohammed Omar,PER,,,,,,,
Pace University School of Law,ORG,ፔስ ዩኒቨርስቲ ቤት ትምህርት ሕጊ,pes junivərɨsɨti bet tɨmɨhɨrɨt ħɨɡi,,,,,
Pacific Ocean,LOC,ሰላማዊ ውቅያኖስ,səlamawi wɨkʼɨjanosɨ,Garba Paasifiik,,https://en.wikipedia.org/wiki/Pacific_Ocean,2363254,
Pakistan,GPE,ፓኪሥታን,pakisɨtan,Paakistaan,,,,
Palau,GPE,,,Palawuu,,,,
Palestine,GPE,,,Filisxeem,,,,
Palestinian Authority,ORG,ሰበ ስልጣን ፍልስጤም,səbə sɨltʼan fɨlsɨtʼem,,,,,
Palestinian people,PER,ፍሊስጤማዊያን,fɨlisɨtʼemawijan,,,,,
Panama,GPE,ፓናማ,panama,Panamaa,,,,
Paolo Gentiloni,PER,ፓውሎ ጀንቲሎኒ,pawlo d͡ʒəntiloni,,,,,
Papua New Guinea,GPE,,,Pappawaa Niw giinii,,,,
Paraguay,GPE,,,Paraguwaay,,,,
Paris,GPE,ፓሪስ,paris,,,,,
PDFLE; PDFL,ORG,ህደግሓኤ,hɨdəɡɨħaʔe,,,,,
Pennsylvania,GPE,ፔንስልቫንያ,pensɨlvanja,,,,6254927,
Pentagon,ORG,ፔንታጎን,pentaɡon,,,,,
PAFD,ORG,,,TUBD,,,,
People's Alliance for Freedom and Democracy,ORG,,,Tumsa Ummatootaa Bilisummaa fi Demookraasii,,,,
People's Democratic Republic of Ethiopia,GPE,,,,,https://en.wikipedia.org/wiki/People%27s_Democratic_Republic_of_Ethiopia,,
People's Front,ORG,ህ . ግ .,h . ɡ .,,,,,
Peru,GPE,ፔሩ,peru,,,,,
PFDJ; People's Front for Democracy and Justice,ORG,ህግደፍ,hɨɡɨdəf,,,,,
Philippines,GPE,ፊሊፒንስ,filipinɨs,Filippiin,,,1694008,
Poland,GPE,,,Polandii,,,,
Portugal,GPE,,,Portugaal,,,,
Pramod Mahajan,PER,ፕራሞድ ማሃጃን,pɨramod mahad͡ʒan,,,,,
Priti Patel,PER,ፕሪቲ ፓተል,pɨriti patəl,,,,,
Procter & Gamble India Ltd.,ORG,ፕሮክቴርን ጋምበል ኢንዲያ ሊትድ,pɨrokɨterɨn ɡamɨbəl ʔinɨdija litɨd,,,,,
Provisional Military Administrative Council,ORG,,,Koree Bulchaa Waraana Kan Yeroo,,,,
Punjab,GPE,ፑንጃብ,pund͡ʒab,,,,,
Puntland,GPE,,,,,https://en.wikipedia.org/wiki/Puntland,8220543,
Qatar,GPE,,,Kataar,,,,
Qemant people,PER,,,Qimaant,,https://en.wikipedia.org/wiki/Qemant_people,,
Quezon City,GPE,ከተማ ኩዞን,kətəma kuzon,,,,,
Rafah,GPE,ራፋሕ,rafaħ,,,,,
Rahayta; Rahaita,GPE,,,,,https://en.wikipedia.org/wiki/Rahayta,,
Rajasthan,,ራጃስትሃን,rad͡ʒastɨhan,,,,,
Ramadan Osman Awliyai,PER,,,,,,,
Ramallah,GPE,ራማላህ,ramalah,,,,,
Rammis,,,,Raammis,,,,
Ras Dejen; Ras Dashen; Ras Dashan,LOC,,,Raash Daashin,,https://en.wikipedia.org/wiki/Ras_Dashen,329710,
Red Crescent,ORG,ቀይሕ ወርሒ,qəjɨħ wərɨħi,,,https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,,
Red Cross,ORG,ቀይሕ መስቀል,qəjɨħ məsɨqəl,,,https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,,
Red Sea,LOC,,,Galaana Diimaa; Garba Diimaa,,https://en.wikipedia.org/wiki/Red_Sea,102358,
Rejji,,,,Reejjii,,,,
Richland,GPE,ሪችላንድ,,,,,,
Rift Valley University,ORG,,,,,https://en.wikipedia.org/wiki/Rift_Valley_University_College,,
Rio,GPE,ሪሆ,,Riyoo,,,3451189,
Rio de Janeiro,GPE,ሪሆ ቴ ተኔሂሮ,,Riiyoo Di Jeneroo,,https://en.wikipedia.org/wiki/Rio_de_Janeiro,3451189,
Robe,GPE,,,,,https://en.wikipedia.org/wiki/Robe_(woreda),329608,
Robe Arsi,,,,Roobe Arsii,,,,
Robe Bale,,,,roobe Baalee,,,,
Robert Dole,PER,ሮበርት ደል,robərɨt dəl,,,,,
Roger Middleton,PER,ሮጀር ሚድልተን,,,,,,
Rogge Ammayya,PER,,,Roggee Ammayyaa,,,,
Romania,GPE,,,Rumaaniyaa,,,,
Rosa Parks,PER,ሮዛ ፓርክስ,roza parɨkɨs,,,,,
Rotterdam,GPE,ሮተርዳም,rotərɨdam,Roterdaam,,,,
Russia,GPE,ሩስያዊያ; ራስያ; ሩሲያን,rusɨja; rasja; rusijan,Rusiyaa; Raashiyaa,,,,
Rwanda,GPE, ሩዋንዳ; ርዋንዳ; ሩዋንዳን,ruwanda; rɨwanda,Ruwaandaa,,,,
Sabratha,,ሳብራታ,sabɨrata,,,,,
Sacramento,GPE,ሳክራመንቶ,,,,,,
Saddam Hussein,PER,ሳዳም ሁሴን,sadam husen,,,https://en.wikipedia.org/wiki/Saddam_Hussein,,
Sagan,,,,Saagan,,,,
Sagm,,ሳግም,saɡɨm,,,,,
Sagm,,ሳግምን,saɡɨmɨn,,,,,
Sagure,,,,Saaguee,,,,
Sahara,LOC,ሳሃራ,sahara,,,,,
Sahel,LOC,,,,,https://en.wikipedia.org/wiki/Sahel_(Eritrea),,
Sahiwal,,ሳሂዋል,sahiwal,,,,,
Saint Kitts and Nevis,GPE,,,Seenti Kitii fi Nebis,,,,
Saint Lucia,GPE,,,Seenti Luchiyaa,,,,
Saint Vincent and Grenadines,GPE,,,Seenti Binchentii fi Girenadiin,,,,
Sakka,,,,Saqqaa,,,,
Sakkata,,,,Saaqqata,,,,
Saku,,,,Saaku,,,,
Salem Bus Line,ORG,,,,,,,
Sambate,,,,Sambatee,,,,
Garba Meditraaniyaa,GPE,,,Garba Jiddugaleessa,,,,
Samoa,GPE,,,Samowaa,,,,
San Francisco,GPE,ሳንፍራንሲስኮ,sanfɨransisko,,,,,
San Jose,GPE,ሣንጆሴ,sand͡ʒose,,,,,
San Marino,GPE,,,Saan Mariinoo,,,,
Sana'a,GPE,የመን,sənɨʕa,,,,,
Sanakle,,,,,,,,
Sandafa,,,,Sandaafa,,,,
Sandinistas,PER,ሳንዲስታታት,sanɨdisɨtatat,,,,,
Sao Tome and Principe,GPE,,,Sawo Toomee fi Pirinsippii,,,,
Sarbo,,,,Sarboo,,,,
Sasigga,,,,Saasiggaa,,,,
Saud al-Faisal,PER,ሳውድ ኣል - ፋይሳል,sawɨd ʔal - fajsal,,,,,
Saudi Arabia,GPE,ሳውዲ ዓረቢያ; ሰዑዲ ዓረብ,sawɨdi ʕarəbija,Saudi Arabiya; Sa'uudi Arabiya; Suud Arabiyaa; Sawudii Arabiyaa,,https://en.wikipedia.org/wiki/Saudi_Arabia,102358,
Sawa,,ሳዋ,sawa,,,,,
Sayyo,,,,sayyoo,,,,
Seattle,GPE,ስያትል,sɨjatɨl,,,,,
Sebderat,,,,,,,,
Seden Sodo,GPE,,,Sadan Sooddoo,,https://en.wikipedia.org/wiki/Seden_Sodo,10375733,
Semhar,LOC,,,,,https://en.wikipedia.org/wiki/Semhar,,
Semayawi Party,ORG,,,Semaayaawii,,https://en.wikipedia.org/wiki/Semayawi_Party,,
Senafe,GPE,ሰንዓፈ,sənɨʕafə,,,https://en.wikipedia.org/wiki/Senafe,,
Senegal,,,,Sengaal; Senegaal,,,,
Senhit,GPE,,,,,https://en.wikipedia.org/wiki/Senhit,,
Serae; Seraye,GPE,ሰራየ,sərajə,,,https://en.wikipedia.org/wiki/Serae,,
Seraro woreda,GPE,,,,,https://en.wikipedia.org/wiki/Seraro,8643794,
Serbia,GPE,ሰርቢያ,sərɨbija,,,,,
Serbia and Montenegro,GPE,,,Sarbiyaa fi Montenegroo,,,,
Serofta,,,,Seeroftaa,,,,
Seru,GPE,,,Seeruu,,https://en.wikipedia.org/wiki/Seru,7029359,
Seychelles,GPE,,,Sechiliis,,,,
Shabbe,,,,Shabbee,,,,
Shaebia,,,,,,,,
Shaggar,,,,Shaggar,,,,
Shaki,,,,Shakii,,,,
Shakiso,GPE,,,,,https://en.wikipedia.org/wiki/Shakiso,328715,
Shakkiso,,,,Shaakkisoo,,,,
Shala,,,,Shaalaa,,,,
Shambu,,,,Shaambu,,,,
Shanan,,,,Shanan,,,,
Shanghai,GPE,,,Shaangaay,,,,
Shano,,,,Shano,,,,
Shashamanne,,,,Shaashamannee,,,,
Shashemene; Shashamane,GPE,,,Shashemane; Shaashemannee,,https://en.wikipedia.org/wiki/Shashamane,328688,
Shayya,,,,Shaayyaa,,,,
Sheka,,,,,,,,
Shimon Peres,PER,ሽምን ፔሬዝ,ʃɨmɨn perez,,,,,
Shinine,,,,,,,,
Shira,,ከተማ ሽረ,,,,,,
Shirbo,,,,Shirboo,,,,
Shire Arsi,,,,Shiree Arsii,,,,
Shoa: Shewa,,,,Shawaa,,https://en.wikipedia.org/wiki/Shewa,,
Shoboka,,,,Shoboka,,,,
Sibu Sire,,,,Siibuu Siree,,,,
Sicily,GPE,ሲቺልያ,sit͡ʃilɨja,,,,,
Sidama,,ሲዳማ,,,,https://en.wikipedia.org/wiki/Sidama_people,,
Sidama Zone,,,,Sidaamoo; Sidaamaa,,https://en.wikipedia.org/wiki/Sidama_Zone,8299784,
Sidhpur,,ሲድህፑር,sidɨhɨpur,,,,,
Sidon,,ሲዶን,sidon,,,,,
Sierra Leone,GPE,,,Seraliyoon,,,,
Silt'e Zone; Siltie Zone,,,,Silxee,,https://en.wikipedia.org/wiki/Silt%27e_Zone,7670728,
Silvan Shalom,,ሲልቫን ሻሎም,silvan ʃalom,,,,,
Sinai Desert,LOC,ሲናይ,,,,,,
Singapore,GPE,,,Singapoor,,,,
Singapore Airlines,ORG,ሲንጋፐር ኣየር,,,,,,
